337233	唔知聽日天氣會點呢？	323139	I wonder what the weather will be tomorrow.
345630	諗諗吓我好似約咗佢五點見面喎。	241004	Come to think of it, I promised to see him at five.
345670	最後一個關於握手嘅小貼士：記住笑。	28512	I have one final piece of advice related to handshakes: Remember to smile.
345689	佢走咗之後，佢就話咗佢個名俾我聽。	316221	She told me his name after he had left.
345889	我今朝爭五分鐘就搭到八點半班火車。	257526	This morning I missed the 8:30 train by five minutes.
346906	有人喺呢本書到搣咗兩頁落嚟。	40480	Someone has torn two pages out of this book.
349726	我哋次次都係去嗰度食！今次轉吓口味，去食法國嘢啦。	66120	We're always going there! Let's go to a French restaurant for a change.
350549	呢啲黏液可以當膠水用。	60721	This sticky liquid can be substituted for glue.
350661	淨係得中國先有大熊貓。	34949	Giant pandas live only in China.
350703	如果佢撞車嗰陣戴咗安全帶，就唔會冇咗條命。	265441	He would still be alive if he had been wearing his seat belt when the car crashed.
364850	你有冇打火機呀？	29828	Have you got a lighter?
364850	你有冇打火機呀？	29830	Do you have a lighter?
364929	你唔使趕住答。	52136	You don't have to answer quickly.
382089	你識唔識講英文？	378270	Do you speak English?
382315	食咗飯未呀？	382317	Have you eaten yet?
382319	唔晒唔該。	403068	You're welcome.
382477	你想走啦？	379143	Do you want to go?
382479	你識講上海話喎可？	374894	Can you speak Shanghainese?
382483	唔使啦，我自己行得啦。	379141	Don't worry about it, I'll go myself.
382488	一、二、三、四、五、六、七、八、九、十。	413731	One, two, three, four, five, six, seven, eight, nine, ten.
382489	你至少都講聲“多謝”啊。	67363	You might at least say "thank you."
382490	冇事，唔使驚!	446686	It's nothing, don't be afraid!
382490	冇事，唔使驚!	621732	It'll be fine, don't be afraid!
382491	你仲有乜野要我幫忙吤？	661886	Do you still need my help?
382501	多謝。	374827	Thank you!
382501	多謝。	448645	Thanks!
382501	多謝。	2057650	Thanks.
382502	我有好多朋友。	341634	I have many friends.
385304	水結咗冰就會變做固體。	270829	Water becomes solid when it freezes.
385311	呢本書對你嚟講可能難咗啲。	56877	This book is too difficult for you to read.
385316	我保證你一年之後就會加人工。	73062	I'll see to it that you have a raise after the first year.
385316	我保證你一年之後就會加人工。	435249	I promise you that you'll get a raise after a year.
385333	呢部機重得濟喇，我拎唔郁。	59793	This machine is too heavy for me to carry.
385338	橫濱係日本第二大嘅城市。	25661	Yokohama is the second largest city in Japan.
385415	同人哋握手嗰陣，一定要有眼神接觸。	40442	When you shake hands with somebody, you must look him in the eye.
385416	你都唔揸車，要架車嚟做咩啫？	265603	What's the good of having a car if you don't drive?
385472	因為你唔夠努力，所以先會失敗。	17820	The reason why you failed is you did not try hard enough.
385477	天氣每日都喺度變緊。	44609	The weather varies from day to day.
385488	呢個只不過係個藉口。	41462	That's just an excuse.
385509	佢自己有間屋。	298642	He has a house of his own.
385512	個法官判咗佢坐一年監。	282740	The judge sentenced him to one year's imprisonment.
385514	我諗你一定好鍾意你份工喇！	69368	I believe you like your job.
385516	唔使急，仲有大把時間。	41552	There's no need to panic. There's plenty of time.
385534	我打爛咗你個煙灰缸。	22143	I broke your ashtray.
385536	你以前唔係噉講㗎喎。	70009	You did not say so.
385578	呢啲資料未必可靠。	59023	It is questionable whether this data can be relied on.
385580	迷你裙已經 out 咗啦。	32236	Miniskirts have gone out of fashion.
385582	啲英國人唔會噉讀㗎。	66587	An Englishman would not pronounce it like that.
385584	張相係佢影嘅。	58785	The picture was taken by him.
385590	嗰條裙睇落好似好貴噉。	60777	That dress seems to be very expensive.
385592	你應該同你阿爸阿媽傾吓先。	32809	First of all, you should talk it over with your parents.
385602	一養成咗壞習慣，就好難改返正㗎喇。	28637	A bad habit, once formed, is difficult to get rid of.
385604	呢本書值得一睇。	56885	This book is worth reading.
385606	阿 Paul 啱啱打咗電話比我。	39926	Paul telephoned just now.
385608	請你寫低你嘅真實經驗。	38900	Please write about your real experience.
385614	佢屋企喺邊？	292024	Where does he live?
385677	你最近忙唔忙呀？	3630174	Have you been busy lately?
385682	但係佢好好彩。	53516	But he was lucky.
385686	佢拎起支筆，然後就開始寫。	292688	He took up his pen and began to write.
385689	呢隻手錶有防震功能。	58927	This watch is shock-proof.
385698	如果人人都識得關心環境嘅話，就唔會有噪音污染啦。	274335	Noise pollution could be avoided if only people were more sensitive to the environment.
385956	我記得喺巴黎見過佢。	35044	I remember meeting him in Paris.
